config,n_top,window_i,n_trades,actual_roi,actual_mdd,actual_calmar,actual_ulcer,roi_rank_broken,mdd_rank,calmar_rank,ulcer_rank
forex,10,13,231,-0.6245231796585972,10.600347239585517,-0.5891535112419738,7.171567293272717,34.1,7.4,92.60000000000001,2.1
forex,10,14,300,-1.8195368460718304,19.025558047497043,-0.9563645079578649,8.480698686490646,0.0,57.2,42.800000000000004,96.5
forex,10,15,208,-0.35519365080908766,5.1736319949013705,-0.6865460302532768,2.602440176954195,11.8,78.2,21.8,78.9
forex,15,1,282,-1.9067952147599112,20.09929239282644,-0.9486877336241238,12.324213806316077,51.6,45.1,54.900000000000006,32.2
forex,15,2,245,-0.07391432184194412,6.645013226177753,-0.11123276858315605,3.4703518680885734,5.2,16.6,83.4,16.0
forex,15,3,321,-0.5913493871210758,8.305975780254585,-0.7119565512421352,3.639419450556224,75.60000000000001,53.7,46.300000000000004,84.30000000000001
forex,15,4,332,-2.124136581618958,20.90636398527886,-1.016023916504401,13.270527599319832,7.800000000000001,96.80000000000001,3.2,38.400000000000006
forex,15,5,161,-1.7587375285875637,18.526374310470942,-0.9493155536609993,10.432935475459807,3.7,33.4,66.60000000000001,55.900000000000006
forex,15,6,262,-1.545320769888601,17.0812066176627,-0.9046906371887528,9.304072509048147,18.5,36.4,63.6,60.800000000000004
forex,15,7,219,-0.6011346195427134,5.722346870225465,-1.0505036363149167,3.7303589092753677,9.4,99.60000000000001,0.4,75.10000000000001
forex,15,8,253,-0.822286823269821,11.700870517749536,-0.7027569632724848,6.10529026634743,0.4,7.9,92.10000000000001,31.3
forex,15,9,417,-2.786207029883104,28.4550715209881,-0.9791600867451811,13.864556171887548,0.1,68.5,31.5,95.30000000000001
forex,15,10,322,-2.7611177071388524,27.98117724826568,-0.9867768188023579,15.963043846787238,9.1,77.0,23.0,60.400000000000006
forex,15,11,267,0.16221454189607082,3.251899588641095,0.49883010675571654,1.5389209670063333,88.0,80.9,80.9,70.4
forex,15,12,325,-0.10744768105257663,6.478268730444597,-0.16585863526720757,3.688632908777784,49.900000000000006,37.2,62.800000000000004,25.200000000000003
forex,15,13,328,-0.701888850940358,10.600347239585517,-0.6621376027374387,7.374742093656333,30.3,30.900000000000002,69.10000000000001,9.1
forex,15,14,419,-2.1523704052449624,23.572654569458564,-0.9130793474713864,13.604383737736198,14.5,23.900000000000002,76.10000000000001,41.400000000000006
forex,15,15,343,-0.9691531820636786,11.435494123502622,-0.8474956758290326,5.250810148149448,69.5,60.5,39.5,86.60000000000001
forex,20,1,355,-2.183953037003538,22.927530326970555,-0.9525461337780755,14.648192157682447,1.6,48.0,52.0,21.0
forex,20,2,309,-0.09571116342389833,6.645013226177753,-0.14403457173997516,3.1412560512029732,57.5,30.700000000000003,69.3,39.0
forex,20,3,394,-0.8047040604608865,10.243793608576993,-0.7855527856273073,5.000561168612806,8.3,58.400000000000006,41.6,77.60000000000001
forex,20,4,391,-2.9913709981396988,28.91270828860263,-1.034621512547441,15.252239089683078,14.8,100.0,0.0,91.9
forex,20,5,245,-2.4853386924270855,25.49538724910701,-0.9748189616198656,15.422337819574897,88.4,54.1,45.900000000000006,36.0
forex,20,6,305,-1.729856980439426,18.963569711169498,-0.9122000798301937,10.941256439726455,70.3,36.5,63.5,45.5
forex,20,7,275,-0.5508334097175973,6.179700035218275,-0.8913594617511902,4.133702164772551,30.700000000000003,95.30000000000001,4.7,60.2
forex,20,8,300,-0.6894861647974012,11.700870517749536,-0.5892605714690126,6.587611071569067,0.8,4.5,95.5,13.700000000000001
forex,20,9,527,-3.134706614547747,32.90106806237543,-0.9527674325358736,18.704190405921633,67.3,37.7,62.300000000000004,53.6
forex,20,10,389,-2.950495396178444,29.899953797251783,-0.9867892827478666,18.43887676881506,5.4,80.5,19.5,35.0
forex,20,11,319,0.029255727775462922,3.251899588641095,0.0899650403648789,1.5557424022790793,69.8,96.80000000000001,96.80000000000001,93.7
forex,20,12,370,0.22254658594551713,6.478268730444597,0.3435278701849159,3.471232712309423,67.60000000000001,18.400000000000002,18.400000000000002,10.200000000000001
forex,20,13,462,-0.931881717121524,11.243564429234311,-0.8288134274381398,7.338160280142644,14.5,73.0,27.0,39.300000000000004
forex,20,14,536,-2.8431953238483954,29.634908483774552,-0.9594074924864631,17.22078305615938,50.5,51.900000000000006,48.1,52.0
forex,20,15,487,-1.8834617108378866,18.428315154412417,-1.0220476994539116,8.556933271398739,9.0,98.9,1.1,97.9
commodity,10,1,23,12.087416475000037,140.38976025000068,0.8609898936699678,62.25821437961738,8.6,18.5,18.5,23.5
commodity,10,2,14,34.09610000000002,46.15399999999954,7.3874637084543835,17.87629405136491,0.0,42.0,42.0,56.300000000000004
commodity,10,3,30,49.63882750000003,56.15428849999989,8.839721564631725,22.966499920842846,37.9,87.10000000000001,87.10000000000001,86.4
commodity,10,4,11,2.4317412250000836,71.44480799999963,0.340366402132412,33.319696330107476,13.0,50.900000000000006,50.900000000000006,64.60000000000001
commodity,10,5,11,11.681467150000103,48.652990250000244,2.400976196935818,21.684466493120272,88.30000000000001,72.2,72.3,80.30000000000001
commodity,10,6,9,-11.509433625000003,104.8064132500001,-1.098161197210896,59.39960090814577,0.0,0.0,88.9,79.30000000000001
commodity,10,7,23,-20.913045125000053,219.89584500000046,-0.9510432143454102,117.58038420311648,8.1,43.5,56.400000000000006,60.300000000000004
commodity,10,8,22,-4.386214624999883,242.40637524999943,-0.18094468928369878,138.62895685684057,6.2,1.1,98.9,1.0
commodity,10,9,141,40.373471012320024,212.20704122084862,1.9025509606112667,98.91493431625491,12.0,86.80000000000001,86.80000000000001,74.8
commodity,10,10,347,44.82295069696274,466.92749200598007,0.9599552706652082,229.8807577962334,29.5,58.5,58.5,40.7
