Asset,Filter,Same-Window OOS Prof%,Pool Size,Lift (pp)
XAU/USD,MC-MDD p90 + IS PF>1,55.482771827414524,75719,0.4870981191522219
XAU/USD,MC-Calmar p50 + IS PF>1,55.72086118148781,348916,0.7251874732255104
XAU/USD,MC-Calmar p75 + IS PF>1,55.59826608722508,181324,0.6025923789627754
XAU/USD,MC-Calmar p90 + IS PF>1,55.44858745189719,76139,0.45291374363488757
XAU/USD,MC-Ulcer p50 + IS PF>1,55.66972318588147,347345,0.674049477619171
XAU/USD,MC-Ulcer p75 + IS PF>1,55.6200629729879,181030,0.6243892647256004
XAU/USD,MC-ROI* p50,54.54698675425139,231395,-0.44868695401090974
XAU/USD,MC-ROI* p75,54.41212442415101,98116,-0.5835492841112924
WTI,No filter,43.40904177966435,814176,0.0
WTI,IS PF>1,43.7597801382174,584731,0.3507383585530519
WTI,Rob: ENT,43.83514077142783,498219,0.42609899176348165
WTI,Rob: FEE,44.033713410698695,474114,0.6246716310343459
WTI,Rob: SLI,43.7597801382174,584731,0.3507383585530519
WTI,Rob: ENT+IND,43.78384381967845,477192,0.374802040014103
WTI,Rob: All 4,44.020925773472456,380201,0.6118839938081067
WTI,MC-MDD p50,43.6089322105587,416112,0.19989043089434944
WTI,MC-MDD p75,43.70821529745042,211800,0.29917351778607326
WTI,MC-MDD p90,43.958762412122745,86911,0.5497206324583956
WTI,MC-Calmar p50,43.54366272628772,410705,0.13462094662337165
WTI,MC-Calmar p75,43.65549234304322,207589,0.24645056337887183
WTI,MC-Calmar p90,43.743281395815856,84653,0.3342396161515069
WTI,MC-Ulcer p50,43.64129310386305,415682,0.23225132419869965
WTI,MC-Ulcer p75,43.72060107098205,211955,0.31155929131769966
WTI,MC-MDD p50 + IS PF>1,43.98199659503733,298388,0.5729548153729809
WTI,MC-MDD p75 + IS PF>1,44.144600173551765,152116,0.7355583938874162
WTI,MC-MDD p90 + IS PF>1,44.478880439644705,62596,1.0698386599803555
WTI,MC-Calmar p50 + IS PF>1,43.99009295376378,299181,0.5810511740994286
WTI,MC-Calmar p75 + IS PF>1,44.15118270852675,152954,0.7421409288623977
WTI,MC-Calmar p90 + IS PF>1,44.49245769821296,63177,1.08341591854861
WTI,MC-Ulcer p50 + IS PF>1,44.00816063998714,298506,0.5991188603227897
WTI,MC-Ulcer p75 + IS PF>1,44.193316329867244,152910,0.7842745502028947
WTI,MC-ROI* p50,43.323072078753405,241361,-0.08596970091094391
WTI,MC-ROI* p75,43.21875241256852,103624,-0.19028936709582922
